id;average_length;average_weight;habitat;ph_of_water;color;Gender;life_span
1;14.69 inches;5.87 kg;ponds;6.2;Reddish_Orange;FALSE;10.9 years
2;1.32 inches;3.86 kg;idlewater;6.8;Calico;TRUE;5.2 years
3;14.23 inches;12.09 kg;lakes;7.9;Reddish_Orange;TRUE;25.3 years
4;2.54 inches;3.2 kg;rivers;6.7;White;FALSE;16.4 years
5;13.1 inches;9.81 kg;lakes;7.8;Orange;TRUE;3.2 years
6;15.2 inches;8.99 kg;lakes;7.8;White;FALSE;21.6 years
7;16.17 inches;5.08 kg;ponds;6.3;Red_and_Silver;FALSE;10.9 years
8;13.74 inches;13.01 kg;rivers;6.7;White;FALSE;23.1 years
9;13.21 inches;5.22 kg;lakes;7.6;Black_and_Orange;FALSE;5.4 years
10;19.04 inches;15.54 kg;rivers;6.7;Calico;TRUE;8.6 years
11;19.92 inches;3.93 kg;ponds;7.2;Yellow;FALSE;21.7 years
12;1.1 inches;8.79 kg;rivers;6.1;White;TRUE;13.4 years
13;10.83 inches;13 kg;rivers;7.6;Reddish_Orange;TRUE;6.6 years
14;5.97 inches;11.1 kg;ponds;6.4;Black_and_Orange;FALSE;26.6 years
15;18.94 inches;11.98 kg;slowmovingwaters;6.3;Black_and_Orange;FALSE;3.6 years
16;7.62 inches;11.7 kg;lakes;7.9;Black_and_Orange;FALSE;13.3 years
17;18.41 inches;16.52 kg;idlewater;6.7;Orange;FALSE;10.1 years
18;9.1 inches;16.99 kg;slowmovingwaters;6.6;Calico;TRUE;13.7 years
19;15.02 inches;11.8 kg;lakes;7.3;Reddish_Orange;FALSE;12.2 years
20;17.69 inches;8.49 kg;ponds;6.8;Black_and_Orange;FALSE;24.1 years
21;16.37 inches;13.29 kg;lakes;7.1;Calico;TRUE;12.5 years
22;4.7 inches;4.5 kg;idlewater;7.8;Red_and_White_Bi_Color;TRUE;27.7 years
23;18.37 inches;15.16 kg;lakes;6.3;Orange;TRUE;22.4 years
24;2.79 inches;16.68 kg;slowmovingwaters;8;Red_and_Silver;TRUE;16.1 years
25;19.87 inches;18.59 kg;lakes;7.6;Orange;TRUE;10 years
26;13.93 inches;10.21 kg;rivers;7.1;Green_and_Chocolate;TRUE;15.4 years
27;19.72 inches;10.48 kg;rivers;7.8;Red_and_Silver;FALSE;10.6 years
28;2.56 inches;10.26 kg;slowmovingwaters;7.7;Red_and_White_Bi_Color;TRUE;7.7 years
29;3.97 inches;9.04 kg;slowmovingwaters;7.7;White;TRUE;26.1 years
30;16.92 inches;2.91 kg;ponds;6.3;Orange;TRUE;8.8 years
31;9.51 inches;3.57 kg;slowmovingwaters;6.7;Red_and_Silver;FALSE;19.4 years
32;5.73 inches;16.68 kg;slowmovingwaters;6.3;White;TRUE;24.2 years
33;7.16 inches;12.51 kg;rivers;7.8;Green_and_Chocolate;TRUE;4.4 years
34;17 inches;6.27 kg;idlewater;7.5;Orange;FALSE;27 years
35;18.3 inches;13.69 kg;slowmovingwaters;6.5;Calico;FALSE;25 years
36;6.06 inches;14.69 kg;rivers;7.4;Yellow;FALSE;1.8 years
37;17.72 inches;16.49 kg;ponds;7.1;Green_and_Chocolate;TRUE;24.6 years
38;19.46 inches;3.19 kg;rivers;6.6;Black_and_Orange;FALSE;27 years
39;1.01 inches;18.29 kg;lakes;6.3;Green_and_Chocolate;TRUE;17.8 years
40;2.18 inches;3.97 kg;ponds;7.4;Red_and_Silver;TRUE;4.9 years
41;7.3 inches;9.88 kg;ponds;7.9;Black_and_Orange;TRUE;27.7 years
42;15.48 inches;18.24 kg;lakes;6.5;Calico;TRUE;1.9 years
43;7.85 inches;11.57 kg;idlewater;7.8;White;TRUE;6.2 years
44;10.96 inches;10.01 kg;rivers;7.5;Black_and_Orange;TRUE;1.7 years
45;3.61 inches;8.63 kg;slowmovingwaters;7.8;Reddish_Orange;TRUE;22.9 years
46;10.28 inches;5.23 kg;rivers;7.1;Red_and_Silver;FALSE;24.6 years
47;11.54 inches;8.15 kg;lakes;7;Black_and_Orange;TRUE;13.8 years
48;1.64 inches;15.99 kg;lakes;7.5;Calico;FALSE;20.8 years
49;6.6 inches;8.78 kg;ponds;6.7;White;TRUE;12.8 years
50;11.54 inches;11.67 kg;lakes;8;Red_and_Silver;FALSE;19.4 years
51;2.6 inches;8.97 kg;lakes;6.1;Red_and_White_Bi_Color;TRUE;21.2 years
52;7.86 inches;7.75 kg;slowmovingwaters;6.2;Red_and_White_Bi_Color;FALSE;7.9 years
53;2.93 inches;12.07 kg;slowmovingwaters;7.8;Orange;FALSE;13.2 years
54;17.67 inches;12.24 kg;slowmovingwaters;7.6;Yellow;TRUE;16 years
55;10.89 inches;17.22 kg;slowmovingwaters;7;Green_and_Chocolate;TRUE;17.2 years
56;16.96 inches;8.97 kg;idlewater;7.5;Red_and_White_Bi_Color;TRUE;8.2 years
57;10.96 inches;13.29 kg;slowmovingwaters;7.1;Red_and_White_Bi_Color;TRUE;26.5 years
58;8.91 inches;7.82 kg;idlewater;6.8;Red_and_Silver;TRUE;7.2 years
59;18.68 inches;10.36 kg;lakes;7.8;Red_and_Silver;FALSE;11.4 years
60;11.61 inches;15.09 kg;rivers;6.7;Red_and_Silver;TRUE;21.2 years
61;2.48 inches;15.23 kg;idlewater;6.5;Red_and_Silver;TRUE;21.5 years
62;7.95 inches;8.7 kg;ponds;7.5;Red_and_Silver;TRUE;20.1 years
63;18.19 inches;5.84 kg;ponds;6.3;Red_and_Silver;FALSE;25.9 years
64;19.38 inches;11.89 kg;ponds;6.5;White;TRUE;11.6 years
65;4.53 inches;7.99 kg;ponds;7;Green_and_Chocolate;FALSE;15.1 years
66;13.25 inches;18.9 kg;ponds;6.9;White;TRUE;15.6 years
67;10.23 inches;16.19 kg;slowmovingwaters;6.3;Green_and_Chocolate;FALSE;2.5 years
68;6.96 inches;9.46 kg;rivers;6.6;Calico;TRUE;18.1 years
69;16.47 inches;12.64 kg;slowmovingwaters;7.9;Orange;FALSE;14.4 years
70;4.46 inches;3.06 kg;lakes;6.9;Yellow;TRUE;21.3 years
71;4.56 inches;9.53 kg;slowmovingwaters;7;Red_and_White_Bi_Color;FALSE;19.8 years
72;12.25 inches;17.13 kg;slowmovingwaters;6;Red_and_White_Bi_Color;FALSE;2.8 years
73;8.17 inches;12 kg;rivers;7.9;Red_and_Silver;TRUE;18.7 years
74;14.05 inches;17.34 kg;rivers;6.8;Reddish_Orange;FALSE;11.6 years
75;15.29 inches;6.93 kg;ponds;6.4;Red_and_Silver;FALSE;17.5 years
76;13.04 inches;15.51 kg;idlewater;7.2;Calico;TRUE;26.6 years
77;14.62 inches;6.76 kg;lakes;7.8;Reddish_Orange;TRUE;3.1 years
78;13.43 inches;9.19 kg;ponds;6.5;Red_and_Silver;TRUE;18.4 years
79;9.32 inches;5.94 kg;slowmovingwaters;6.9;Calico;FALSE;16.2 years
80;9.29 inches;14.39 kg;idlewater;6.4;Red_and_Silver;FALSE;16.4 years
81;12.82 inches;4.64 kg;ponds;7.6;White;FALSE;10.4 years
82;18.88 inches;10.85 kg;rivers;6.7;Green_and_Chocolate;TRUE;1.2 years
83;12.79 inches;6.38 kg;slowmovingwaters;7.7;Yellow;FALSE;19.1 years
84;3.38 inches;15.76 kg;slowmovingwaters;7.6;Black_and_Orange;FALSE;2.2 years
85;2.97 inches;11.32 kg;idlewater;7.9;Yellow;TRUE;25.8 years
86;10.21 inches;6.14 kg;lakes;7.3;Black_and_Orange;FALSE;24.1 years
87;10.95 inches;10.1 kg;rivers;7.1;Red_and_White_Bi_Color;TRUE;25.6 years
88;2.64 inches;6.22 kg;ponds;7.7;Red_and_Silver;FALSE;25.9 years
89;6.32 inches;10.15 kg;lakes;7.3;Reddish_Orange;FALSE;18.5 years
90;1.11 inches;13.61 kg;idlewater;6.8;Green_and_Chocolate;FALSE;5.5 years
91;1.24 inches;17.02 kg;slowmovingwaters;7.2;Reddish_Orange;FALSE;9.4 years
92;10.91 inches;8.94 kg;rivers;6.6;Calico;TRUE;21.7 years
93;14.42 inches;10.69 kg;ponds;7.8;Red_and_Silver;TRUE;11.4 years
94;13.68 inches;3.48 kg;slowmovingwaters;7.5;Red_and_Silver;TRUE;22.8 years
95;7.17 inches;2.19 kg;slowmovingwaters;6.3;Red_and_Silver;FALSE;14.6 years
96;10.7 inches;2.84 kg;ponds;7.7;Orange;TRUE;2.8 years
97;8.38 inches;9.06 kg;slowmovingwaters;7.9;Reddish_Orange;FALSE;24.5 years
98;3 inches;2.78 kg;lakes;6.8;Red_and_White_Bi_Color;FALSE;9.9 years
99;10.83 inches;8.2 kg;rivers;7.8;Orange;TRUE;27.2 years
100;4.43 inches;3.89 kg;rivers;6.6;Orange;TRUE;12.9 years
101;7.66 inches;15.9 kg;idlewater;6.6;Red_and_Silver;FALSE;9.8 years
102;6.01 inches;6.09 kg;ponds;7.3;Green_and_Chocolate;FALSE;12.3 years
103;5.4 inches;9.31 kg;slowmovingwaters;6.7;Calico;FALSE;4.9 years
104;12.69 inches;12.82 kg;ponds;7.3;Red_and_Silver;FALSE;21.4 years
105;13.56 inches;11.39 kg;slowmovingwaters;6.8;Red_and_White_Bi_Color;FALSE;8.4 years
106;15.42 inches;13.9 kg;lakes;7.1;Red_and_Silver;FALSE;5.8 years
107;10.3 inches;3.6 kg;lakes;6.5;Orange;TRUE;8.6 years
108;11.42 inches;8.98 kg;rivers;7.6;Orange;TRUE;10.1 years
109;5.93 inches;6.65 kg;slowmovingwaters;6.5;Red_and_White_Bi_Color;TRUE;10.7 years
110;6.84 inches;15.89 kg;lakes;6.5;Yellow;TRUE;18.3 years
111;17.79 inches;18.24 kg;slowmovingwaters;6.3;Green_and_Chocolate;FALSE;22.6 years
112;9.88 inches;15.54 kg;rivers;6.4;Yellow;TRUE;11.7 years
113;14.08 inches;17.34 kg;idlewater;7.9;Red_and_Silver;TRUE;7.3 years
114;6.37 inches;3.63 kg;ponds;7.1;White;TRUE;5.2 years
115;5.44 inches;3.71 kg;idlewater;7.5;Green_and_Chocolate;FALSE;8.3 years
116;4.3 inches;7.57 kg;ponds;6.4;Yellow;TRUE;24 years
117;15.76 inches;15.6 kg;lakes;6.4;White;FALSE;3.2 years
118;11.39 inches;13.56 kg;idlewater;7.2;White;FALSE;18 years
119;3.85 inches;5.3 kg;slowmovingwaters;7.4;Red_and_Silver;TRUE;7 years
120;11.3 inches;3.82 kg;lakes;6.8;Black_and_Orange;FALSE;3.8 years
121;2.94 inches;2.37 kg;lakes;6.3;Red_and_White_Bi_Color;TRUE;6.8 years
122;12.22 inches;16.04 kg;lakes;6.4;White;FALSE;8.5 years
123;8.32 inches;15.88 kg;idlewater;6.1;White;FALSE;26.1 years
124;18.91 inches;7.38 kg;rivers;7.4;Red_and_Silver;FALSE;10.6 years
125;16.25 inches;2.79 kg;ponds;7.1;Calico;TRUE;18.8 years
126;13.82 inches;15.55 kg;lakes;7.5;Reddish_Orange;FALSE;12.7 years
127;5.12 inches;4.04 kg;idlewater;7.6;Red_and_Silver;FALSE;3 years
128;5.04 inches;6.73 kg;slowmovingwaters;7.6;Reddish_Orange;FALSE;27.2 years
129;19.56 inches;8.12 kg;rivers;6.4;Orange;FALSE;1.8 years
130;9.28 inches;2.99 kg;rivers;6.3;Green_and_Chocolate;TRUE;17.4 years
131;16.43 inches;8.02 kg;lakes;6.9;Calico;TRUE;11 years
132;13.97 inches;9.2 kg;idlewater;6.2;Yellow;FALSE;8.3 years
133;11.19 inches;3.52 kg;lakes;7.1;Red_and_Silver;TRUE;2.4 years
134;12.99 inches;9.61 kg;lakes;6.8;Reddish_Orange;TRUE;6.4 years
135;1.41 inches;7.07 kg;ponds;7.3;Red_and_White_Bi_Color;TRUE;26.3 years
136;15.4 inches;8.39 kg;ponds;7.4;Red_and_Silver;TRUE;16.9 years
137;1.88 inches;13.08 kg;slowmovingwaters;7.4;Black_and_Orange;TRUE;14.9 years
138;3.01 inches;12.28 kg;idlewater;7.8;Red_and_Silver;FALSE;26.1 years
139;16.87 inches;9.76 kg;ponds;6.1;Red_and_Silver;FALSE;15 years
140;6.82 inches;18.05 kg;idlewater;6.8;Red_and_White_Bi_Color;TRUE;16.4 years
141;11.76 inches;6.98 kg;lakes;6.5;Calico;TRUE;1.3 years
142;2.06 inches;6.99 kg;rivers;7.5;White;FALSE;14.7 years
143;3.84 inches;14.7 kg;lakes;7.4;White;FALSE;4.2 years
144;7.72 inches;16.67 kg;rivers;7.8;Red_and_White_Bi_Color;TRUE;27.8 years
145;12.29 inches;9.68 kg;ponds;7.1;Black_and_Orange;FALSE;26.2 years
146;6.19 inches;3.64 kg;ponds;6;Yellow;FALSE;4.1 years
147;4.49 inches;4.54 kg;lakes;6.4;Red_and_White_Bi_Color;TRUE;15.3 years
148;19.19 inches;4.34 kg;slowmovingwaters;7.2;Green_and_Chocolate;TRUE;16.7 years
149;13.33 inches;5.12 kg;rivers;7.8;Orange;TRUE;12.8 years
150;9.57 inches;16.07 kg;rivers;6.7;Reddish_Orange;TRUE;20.2 years
151;6.61 inches;11.51 kg;slowmovingwaters;7.9;Reddish_Orange;TRUE;13.8 years
152;10.81 inches;7.21 kg;ponds;7.4;White;TRUE;22 years
153;9.1 inches;10.47 kg;idlewater;7.3;Green_and_Chocolate;TRUE;23.8 years
154;14.77 inches;11.87 kg;idlewater;6.4;Orange;TRUE;21.6 years
155;11.32 inches;2.24 kg;rivers;6.3;Yellow;TRUE;14.2 years
156;8.39 inches;5.8 kg;idlewater;7.1;Black_and_Orange;TRUE;2.8 years
157;18.28 inches;9.49 kg;lakes;7.1;Yellow;TRUE;27.5 years
158;3.71 inches;3.36 kg;ponds;6.1;Red_and_Silver;FALSE;26.3 years
159;16.01 inches;4.24 kg;idlewater;7.3;White;FALSE;18 years
160;12.19 inches;13.74 kg;idlewater;6.2;Yellow;FALSE;21.2 years
161;19.82 inches;15.96 kg;lakes;7.3;Green_and_Chocolate;TRUE;17.1 years
162;19.95 inches;10.67 kg;slowmovingwaters;7.8;Yellow;TRUE;4.8 years
163;6.18 inches;10.32 kg;idlewater;7.2;Calico;TRUE;13.7 years
164;10.36 inches;2.08 kg;lakes;7.6;Yellow;FALSE;22.6 years
165;17.52 inches;9.68 kg;ponds;7;Yellow;FALSE;17.9 years
166;6.78 inches;13.87 kg;slowmovingwaters;6;White;TRUE;24.3 years
167;7.18 inches;6.65 kg;ponds;6.1;Red_and_Silver;TRUE;26.5 years
168;4.67 inches;3.61 kg;idlewater;6.2;Reddish_Orange;TRUE;12.3 years
169;18.26 inches;17.97 kg;rivers;7.6;Green_and_Chocolate;TRUE;10.1 years
170;14.36 inches;4.5 kg;lakes;7.1;White;FALSE;27.4 years
171;16.78 inches;5.34 kg;slowmovingwaters;7.9;Red_and_Silver;TRUE;12.5 years
172;3.24 inches;15.09 kg;ponds;6.9;Reddish_Orange;TRUE;7 years
173;19.14 inches;11.76 kg;ponds;6.6;Reddish_Orange;TRUE;25 years
174;11.97 inches;4.48 kg;slowmovingwaters;7.5;Red_and_Silver;FALSE;13.8 years
175;18.48 inches;15.48 kg;ponds;7.5;Calico;FALSE;18.6 years
176;6.55 inches;9.78 kg;slowmovingwaters;7.3;Green_and_Chocolate;FALSE;10.2 years
177;7.14 inches;15.24 kg;slowmovingwaters;7.9;White;FALSE;10.1 years
178;10.22 inches;6.25 kg;rivers;7.3;Reddish_Orange;TRUE;28 years
179;17.73 inches;14.09 kg;lakes;7.9;Yellow;FALSE;6.5 years
180;3.55 inches;5.96 kg;rivers;6.5;Calico;TRUE;3.1 years
181;1.15 inches;4.16 kg;slowmovingwaters;6.5;Orange;TRUE;26.7 years
182;6.11 inches;7.41 kg;lakes;7.7;Black_and_Orange;FALSE;27.6 years
183;18.24 inches;18.92 kg;lakes;6.7;Green_and_Chocolate;TRUE;16.8 years
184;11.77 inches;12.75 kg;slowmovingwaters;7.3;Reddish_Orange;FALSE;12.6 years
185;4.38 inches;16.95 kg;ponds;6.7;Calico;TRUE;9.9 years
186;19.94 inches;2.59 kg;lakes;7.8;Red_and_White_Bi_Color;TRUE;1.4 years
187;13.69 inches;3.84 kg;idlewater;6.9;Black_and_Orange;TRUE;12 years
188;2.79 inches;10.4 kg;lakes;6;Black_and_Orange;FALSE;15.9 years
189;14.27 inches;10.2 kg;slowmovingwaters;6;Red_and_White_Bi_Color;TRUE;21.6 years
190;10.35 inches;17.53 kg;slowmovingwaters;7.3;Yellow;TRUE;14.3 years
191;11.11 inches;9.51 kg;rivers;6.9;Green_and_Chocolate;FALSE;2 years
