molecule_chembl_id;canonical_smiles;standard_relation;standard_value;standard_units;standard_type;pchembl_value;target_pref_name;bao_label
CHEMBL332970;NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(Cl)c(Cl)c1)C(=O)O;=;20.0;nM;IC50;7.70;Renal dipeptidase;single protein format
CHEMBL120198;Nc1ccc(/C=C(/CP(=O)(O)C(N)CC2CCCCC2)C(=O)O)cc1;=;150.0;nM;IC50;6.82;Renal dipeptidase;single protein format
CHEMBL171708;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccccc3)C[C@H]12.[K+];=;0.2;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL434102;C[C@H]1C(c2cccnc2)=C(C(=O)[O-])N2C(=O)[C@H]([C@@H](C)O)[C@@H]12.[K+];=;0.7;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL1161528;C[C@H]1C(c2ccc(CN)cc2)=C(C(=O)O)N2C(=O)[C@H]([C@@H](C)O)[C@@H]12;=;0.07;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL350605;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3cccnc3)C[C@H]12.[K+];=;0.4;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL120600;NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(Br)cc1)C(=O)O;=;30.0;nM;IC50;7.52;Renal dipeptidase;single protein format
CHEMBL333841;NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(C(F)(F)F)cc1)C(=O)O;=;10.0;nM;IC50;8.00;Renal dipeptidase;single protein format
CHEMBL117337;NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(Br)cc1)C(=O)O;=;6.0;nM;IC50;8.22;Renal dipeptidase;single protein format
CHEMBL352337;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3cccnc3)[C@@H](C)[C@H]12.[K+];=;0.1;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL332290;NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(F)c(Br)c1)C(=O)O;=;40.0;nM;IC50;7.40;Renal dipeptidase;single protein format
CHEMBL118275;NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(F)c(Br)c1)C(=O)O;=;3000.0;nM;IC50;5.52;Renal dipeptidase;single protein format
CHEMBL353924;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc(CO)cc3)C[C@H]12.[K+];=;0.28;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL1161526;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3ccc(CN)nc3)C[C@H]12;=;0.1;-;Relative susceptibility;-;Renal dipeptidase;single protein format
CHEMBL325021;NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccccc1I)C(=O)O;=;100.0;nM;IC50;7.00;Renal dipeptidase;single protein format
CHEMBL334279;NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(I)cc1)C(=O)O;=;25.0;nM;IC50;7.60;Renal dipeptidase;single protein format
