scientific_name;common_name;meaning;diet;length_m;weight_kg;height_m;locomotion;period;lived_in;behavior_notes;first_discovered;fossil_location;notable_features;intelligence_level;source_link;row_index
Abelisaurus;Abelisaurus;Abel's lizard;Carnivore;7.0;1500.0;2.4;Bipedal;Late Cretaceous;Argentina;Large theropod;1985;Argentina;Short arms;Medium;https://en.wikipedia.org/wiki/Abelisaurus;0
Abrictosaurus;Abrictosaurus;Wakeful lizard;Herbivore;1.5;15.0;0.5;Bipedal;Early Jurassic;South Africa;Small herbivore;1974;South Africa;Unique teeth;Medium;https://en.wikipedia.org/wiki/Abrictosaurus;1
Abrosaurus;Abrosaurus;Delicate lizard;Herbivore;9.0;2000.0;4.5;Quadrupedal;Middle Jurassic;China;Delicate skull;1959;China;Delicate skull;Medium;https://en.wikipedia.org/wiki/Abrosaurus;2
Abydosaurus;Abydosaurus;Abydos lizard;Herbivore;18.0;30000.0;6.0;Quadrupedal;Early Cretaceous;USA;Basal sauropod;2010;USA;Complete skull;Medium;https://en.wikipedia.org/wiki/Abydosaurus;3
Acantholipan;Acantholipan;Spiny shield;Herbivore;5.0;2500.0;1.5;Quadrupedal;Late Cretaceous;Mexico;Armored nodosaur;2011;Mexico;Clubless armored tail;Medium;https://en.wikipedia.org/wiki/Acantholipan;4
Acanthopholis;Acanthopholis;Spiny scales;Herbivore;4.0;1000.0;1.2;Quadrupedal;Early Cretaceous;UK;Spiny armor;1865;UK;Dermal armor;Medium;https://en.wikipedia.org/wiki/Acanthopholis;5
Achelousaurus;Achelousaurus;Achelous lizard;Herbivore;6.0;2500.0;2.0;Quadrupedal;Late Cretaceous;USA;Ceratopsid nose boss;1993;USA;Nose boss;Medium;https://en.wikipedia.org/wiki/Achelousaurus;6
Acheroraptor;Acheroraptor;Acheron thief;Carnivore;2.5;50.0;1.0;Bipedal;Late Cretaceous;USA;Dromaeosaurid;2011;USA;Complete skull;Medium;https://en.wikipedia.org/wiki/Acheroraptor;7
Achillesaurus;Achillesaurus;Achilles lizard;Carnivore;6.0;600.0;2.0;Bipedal;Late Cretaceous;Argentina;No maxillary teeth;2007;Argentina;Slender limbs;Medium;https://en.wikipedia.org/wiki/Achillesaurus;8
Albertosaurus;Albertosaurus;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Albertosaurus;9
Alectrosaurus;Alectrosaurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Alectrosaurus;10
Alioramus;Alioramus;La Amarga lizard;Herbivore;10.0;2500.0;3.5;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Alioramus;11
Allosaurus;Allosaurus;Sand lizard;Herbivore;4.0;300.0;1.2;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Allosaurus;12
Alvarezsaurus;Alvarezsaurus;Vineyard lizard;Herbivore;2.0;20.0;1.0;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Alvarezsaurus;13
Amargasaurus;Amargasaurus;Almond tooth;Herbivore;10.0;5000.0;4.5;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Amargasaurus;14
Ammosaurus;Ammosaurus;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Ammosaurus;15
Ampelosaurus;Ampelosaurus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Ampelosaurus;16
Amygdalodon;Amygdalodon;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Amygdalodon;17
Anchiceratops;Anchiceratops;Fused lizard;Herbivore;6.0;6000.0;1.7;Quadrupedal;Late Cretaceous;North America;Armored;1908;Canada;Club tail;Medium;https://en.wikipedia.org/wiki/Anchiceratops;18
Anchiornis;Anchiornis;Different lizard;Carnivore;12.0;2000.0;3.5;Bipedal;Late Jurassic;North America;Pack hunter;1877;USA;Large skull;Medium;https://en.wikipedia.org/wiki/Anchiornis;19
Anchisaurus;Anchisaurus;Alvarez's lizard;Carnivore;2.0;20.0;0.8;Bipedal;Late Cretaceous;Argentina;Small predator;1991;Argentina;Tiny arms;Medium;https://en.wikipedia.org/wiki/Anchisaurus;20
Ankylosaurus;Ankylosaurus;La Amarga lizard;Herbivore;8.0;6000.0;2.0;Quadrupedal;Early Cretaceous;Argentina;Neck spines;1991;Argentina;Neck spines;Low;https://en.wikipedia.org/wiki/Ankylosaurus;21
Anserimimus;Anserimimus;Sand lizard;Herbivore;3.5;50.0;1.5;Bipedal;Early Jurassic;USA;Early sauropodomorph;1889;USA;Slender build;Medium;https://en.wikipedia.org/wiki/Anserimimus;22
Antarctosaurus;Antarctosaurus;Vineyard lizard;Herbivore;15.0;5000.0;4.2;Quadrupedal;Late Cretaceous;France;Armored;1989;France;Bony armor;Low;https://en.wikipedia.org/wiki/Antarctosaurus;23
Apatosaurus;Apatosaurus;Almond tooth;Herbivore;22.0;23000.0;7.0;Quadrupedal;Middle Jurassic;Argentina;Basal sauropod;1947;Argentina;Teeth shape;Low;https://en.wikipedia.org/wiki/Apatosaurus;24
Aquilops;Aquilops;Near horned face;Herbivore;6.0;2000.0;2.0;Quadrupedal;Late Cretaceous;Canada;Horned face;1912;Canada;Large frill;Low;https://en.wikipedia.org/wiki/Aquilops;25
Aragosaurus;Aragosaurus;Near bird;Carnivore;0.5;0.38;0.25;Bipedal;Late Jurassic;China;Feathered;2009;China;Feathers;Medium;https://en.wikipedia.org/wiki/Aragosaurus;26
Aralosaurus;Aralosaurus;Near lizard;Herbivore;2.0;50.0;1.0;Bipedal;Early Jurassic;USA;Small herbivore;1818;USA;Small body;Medium;https://en.wikipedia.org/wiki/Aralosaurus;27
