NM number	Gene name	Gene Family	Category	Expression Value - stimulus	Expression Value + stimulus
NM_0009985	B3GALT6	Cyclin dependent kinases	Regulatory protein gene families	0.403	0.42
NM_0007588	TMEM240	Cyclin dependent kinases	Regulatory protein gene families	0.295	0.272
NM_0005919	GNB1	Kinesin	Motor proteins	0.267	0.263
NM_0003080	SKI	Protocadherin gene family	Transporters	0.551	0.528
NM_0006269	PRDM16	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.432	0.424
NM_0005676	NPHP4	Peroxiredoxin	Signal transducing proteins	0.381	0.363
NM_0001024	RERE	Solute carrier family	Transporters	0.294	0.304
NM_0001639	PIK3CD	ATCase/OTCase family	Transporters	0.577	0.532
NM_0008689	NMNAT1	Major facilitator superfamily	Transporters	0.838	0.897
NM_0004680	PEX14	Arf family	Signal transducing proteins	0.022	0.021
NM_0003856	TARDBP	NOTCH2NL	Regulatory protein gene families	0.865	0.812
NM_0003475	MASP2	DLX gene family	Regulatory protein gene families	0.652	0.594
NM_0007425	MTHFR	Arf family	Signal transducing proteins	0.943	1.009
NM_0007547	PLOD1	Equilibrative nucleoside transporter family	Transporters	0.571	0.592
NM_0004742	MFN2	Myosin	Motor proteins	0.532	0.576
NM_0008446	CTRC	Rho family	Signal transducing proteins	0.334	0.353
NM_0002951	EPHA2	Olfactory receptor	Signal transducing proteins	0.258	0.276
NM_0008729	ATP13A2	Fibroblast growth factors (FGF)	Transporters	0.719	0.787
NM_0003015	SDHB	Kinesin	Motor proteins	0.163	0.174
NM_0007075	ALDH4A1	Expansin gene family	Transporters	0.027	0.026
NM_0003450	EMC1	Bacterial potassium transporter	Transporters	0.432	0.405
NM_0003248	PINK1	MAP Kinase	Signal transducing proteins	0.017	0.017
NM_0005087	ALPL	P300-CBP coactivator family	Regulatory protein gene families	0.077	0.085
NM_0004823	HSPG2	Arf family	Signal transducing proteins	0.705	0.657
NM_0008274	CDC42	Rho family	Signal transducing proteins	0.98	0.903
NM_0002677	GALE	Cyclin dependent kinases	Regulatory protein gene families	0.733	0.723
NM_0008207	FUCA1	Nuclear receptor	Regulatory protein gene families	0.749	0.783
NM_0002179	LDLRAP1	CDK inhibitors	Regulatory protein gene families	0.866	0.894
NM_0009606	SEPN1	Rho family	Signal transducing proteins	0.434	0.4
NM_0006915	DHDDS	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.487	0.53
NM_0003544	PIGV	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.139	0.135
NM_0008646	AK2	Rab family	Signal transducing proteins	0.142	0.147
NM_0006871	GJB3	Arf family	Signal transducing proteins	0.279	0.296
NM_0008345	CSF3R	Olfactory receptor	Signal transducing proteins	0.4	0.376
NM_0007274	PPT1	POU family	Regulatory protein gene families	0.425	0.466
NM_0004193	COL9A2	Cyclins	Regulatory protein gene families	0.673	0.61
NM_0007198	KCNQ4	Olfactory receptor	Signal transducing proteins	0.695	0.672
NM_0009260	SLC2A1	Myosin	Motor proteins	0.774	0.83
NM_0004845	MPL	Rho family	Signal transducing proteins	0.788	0.841
NM_0005186	MUTYH	NOD-like receptors	Immune system proteins	0.096	0.103
NM_0007994	MMACHC	Kinesin	Motor proteins	0.433	0.403
NM_0003603	POMGNT1	Killer-cell immunoglobulin-like receptors	Immune system proteins	0.815	0.845
NM_0005392	STIL	POU family	Regulatory protein gene families	0.056	0.06
NM_0004176	ORC1	Ion channels	Transporters	0.033	0.031
NM_0005259	CPT2	P300-CBP coactivator family	Regulatory protein gene families	0.25	0.255
NM_0006366	BSND	Nuclear receptor	Regulatory protein gene families	0.761	0.826
NM_0002861	PCSK9	FH2 protein (formin) gene family	Transporters	0.38	0.361
NM_0005921	PGM1	P300-CBP coactivator family	Regulatory protein gene families	0.283	0.259
NM_0002577	LEPR	General transcription factor	Regulatory protein gene families	0.299	0.286
NM_0009341	RPE65	Heat shock proteins	Transporters	0.719	0.653
NM_0001878	ACADM	Fibroblast growth factors (FGF)	Transporters	0.015	0.016
NM_0006823	NEXN	Achaete-scute complex (neuroblast formation)	Regulatory protein gene families	0.764	0.772
NM_0003013	GFI1	Dynein	Motor proteins	0.549	0.586
NM_0005816	RPL5	Leukocyte immunoglobulin-like receptors	Immune system proteins	0.558	0.543
NM_0009928	ABCA4	Peroxiredoxin	Signal transducing proteins	0.306	0.289
NM_0008907	DPYD	Serine/threonine-specific protein kinase	Signal transducing proteins	0.386	0.422
NM_0008082	AGL	Antiporter	Transporters	0.648	0.591
NM_0006665	COL11A1	Receptor tyrosine kinases	Signal transducing proteins	0.541	0.506
NM_0007593	GNAT2	Rho family	Signal transducing proteins	0.417	0.392
NM_0004015	KCNA2	SOX gene family	Regulatory protein gene families	0.104	0.108
NM_0009094	KCND3	DHH phosphatase family	Transporters	0.758	0.83
NM_0001560	SLC16A1	ATCase/OTCase family	Transporters	0.493	0.455
NM_0007171	AMPD1	Heat shock factor	Transporters	0.712	0.726
NM_0008868	NRAS	Rab family	Signal transducing proteins	0.945	0.968
NM_0005250	TSHB	SRC kinase family	Signal transducing proteins	0.282	0.291
NM_0006926	NGF	Roundabout family	Transporters	0.161	0.155
NM_0001588	CASQ2	Expansin gene family	Transporters	0.868	0.849
NM_0009200	HMGCS2	NOD-like receptors	Immune system proteins	0.406	0.396
NM_0007208	HFE2	DHH phosphatase family	Transporters	0.037	0.035
NM_0007030	GJA8	Peroxiredoxin	Signal transducing proteins	0.78	0.836
NM_0003460	ADAMTSL4	NF-kB	Regulatory protein gene families	0.979	0.934
NM_0003771	RFX5	Globin	Transporters	0.8	0.859
NM_0001283	TPM3	Toll-like receptors	Immune system proteins	0.095	0.097
NM_0002251	HAX1	G-proteins	Signal transducing proteins	0.545	0.592
NM_0001250	CHRNB2	POU family	Regulatory protein gene families	0.254	0.237
NM_0003118	ADAR	Membrane-spanning 4A	Transporters	0.949	0.858
NM_0007716	FLAD1	Fibroblast growth factors (FGF)	Transporters	0.626	0.688
NM_0002153	GBA	Peroxiredoxin	Signal transducing proteins	0.46	0.492
NM_0002796	PKLR	Receptor tyrosine kinases	Signal transducing proteins	0.384	0.42
NM_0007692	RIT1	14-3-3 protein family	Regulatory protein gene families	0.852	0.861
NM_0004719	LMNA	RIG-I like receptors	Immune system proteins	0.719	0.688
NM_0001448	SEMA4A	Major histocompatibility complex (MHC)	Immune system proteins	0.041	0.045
NM_0004191	NTRK1	Solute carrier family	Transporters	0.011	0.01
NM_0008351	SPTA1	Fibroblast growth factors (FGF)	Transporters	0.679	0.694
NM_0009828	KCNJ10	Heat shock proteins	Transporters	0.568	0.542
NM_0006397	MPZ	G-proteins	Signal transducing proteins	0.091	0.099
NM_0007235	FCGR3A	Ras family	Signal transducing proteins	0.559	0.598
NM_0008020	F5	Protocadherin gene family	Transporters	0.697	0.715
NM_0007586	GORAB	Heat shock proteins	Transporters	0.548	0.573
NM_0001515	FMO3	Aquaporins	Transporters	0.06	0.054
NM_0006469	MYOC	Transcription factors	Regulatory protein gene families	0.818	0.868
NM_0007903	DARS2	Peroxin	Transporters	0.389	0.417
NM_0009192	SERPINC1	Kinesin	Motor proteins	0.18	0.17
NM_0005597	NPHS2	Krüppel-type zinc finger (ZNF)	Regulatory protein gene families	0.361	0.384
NM_0008114	LHX4	MADS-box gene family	Regulatory protein gene families	0.125	0.137
NM_0007556	LAMC2	SRC kinase family	Signal transducing proteins	0.879	0.835
NM_0008079	NCF2	Non-receptor tyrosine kinase	Signal transducing proteins	0.717	0.678
NM_0002005	HMCN1	Expansin gene family	Transporters	0.481	0.517
NM_0007082	F13B	Protocadherin gene family	Transporters	0.463	0.423
NM_0002036	ASPM	POU family	Regulatory protein gene families	0.048	0.047
NM_0006963	CRB1	FOX proteins (forkhead box proteins)	Regulatory protein gene families	0.395	0.374
NM_0003479	CACNA1S	14-3-3 protein family	Regulatory protein gene families	0.777	0.787
NM_0003041	TNNT2	Roundabout family	Transporters	0.944	0.925
NM_0005702	LAMB3	CDK inhibitors	Regulatory protein gene families	0.176	0.189
NM_0008101	IRF6	Myosin	Motor proteins	0.253	0.244
NM_0006588	FLVCR1	Hox gene family	Regulatory protein gene families	0.606	0.591
NM_0002646	USH2A	MAP Kinase	Signal transducing proteins	0.546	0.557
NM_0004958	TGFB2	Roundabout family	Transporters	0.021	0.02
NM_0003261	RAB3GAP2	POU family	Regulatory protein gene families	0.876	0.952
NM_0004246	DISP1	NOD-like receptors	Immune system proteins	0.277	0.284
NM_0004404	LBR	POU family	Regulatory protein gene families	0.159	0.145
NM_0004504	LEFTY2	"FGD (FYVE, RhoGEF and PH domain containing) family"	Transporters	0.629	0.645
NM_0004872	PSEN2	Papain-like protease	Transporters	0.518	0.47
NM_0004307	ADCK3	Major facilitator superfamily	Transporters	0.604	0.566
NM_0009653	GJC2	Pattern recognition receptor	Immune system proteins	0.362	0.378
NM_0003114	AGT	Serine/threonine-specific protein kinase	Signal transducing proteins	0.281	0.275
NM_0008898	GNPAT	Nuclear receptor	Regulatory protein gene families	0.946	0.992
NM_0009399	EGLN1	Olfactory receptor	Signal transducing proteins	0.744	0.734
NM_0006248	TBCE	Fibroblast growth factor receptors (FGFR)	Transporters	0.816	0.891
NM_0002592	LYST	Rap family	Signal transducing proteins	0.536	0.557
NM_0004772	EDARADD	NF-kB	Regulatory protein gene families	0.894	0.983
NM_0008245	ACTN2	Membrane-spanning 4A	Transporters	0.912	0.982
NM_0003357	MTR	Transcription factors	Regulatory protein gene families	0.845	0.787
